tick,em_at_tick_start,em_after_update,eff_input,event
342,0.077660,0.077660,-,idle
343,0.077660,0.066011,0.0000,INTERACT
344,0.066011,0.066011,-,idle
345,0.066011,0.206109,1.0000,INTERACT
346,0.206109,0.175193,0.0000,INTERACT
347,0.175193,0.175193,-,idle
348,0.175193,0.148914,0.0000,INTERACT
349,0.148914,0.148914,-,idle
350,0.148914,0.126577,0.0000,INTERACT
351,0.126577,0.126577,-,idle
352,0.126577,0.107590,0.0000,INTERACT
353,0.107590,0.107590,-,idle
354,0.107590,0.091452,0.0000,INTERACT
355,0.091452,0.091452,-,idle
